Unnamed: 0,Canal_id,year,Canal_name,Sample_water_point,TEMP. (oC),  pH,DO (mg/l),H2S (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),TKN (mg/l),NH3N (mg/l),NO2 (mg/l),NO3 (mg/l),T-P (mg/l),T.Coliform (col/100ml),Sample_water_point (EN),Canal_name (EN),Latitude,Longitude
1,12.0,2561,คลองคูเมืองเดิม,ปตร.ราชินี,25.0,8.0,2.7,0.0,5.0,42.0,26.0,2.2,0.9,0.0,2.2,0.1,930000.0,Her Royal Highness Princess Maha Chakri Sirindhorn,Khlong Khu Mueang Derm,13.752721017758600,100.49605032679600
2,13.0,2561,คลองคูเมืองเดิม,หน้ากรมที่ดิน,25.0,8.1,2.4,0.0,5.0,53.0,25.0,1.7,0.6,0.0,2.2,0.1,11000000.0,Department of Lands page,Khlong Khu Mueang Derm,13.752721017758600,100.49605032679600
3,14.0,2561,คลองคูเมืองเดิม,อนุสาวรีย์แม่ธรณีมวยผม สนามหลวง,25.0,8.0,1.7,0.0,5.0,56.0,24.0,2.2,0.6,0.34,2.3,0.2,4600000.0,"Mother Earth Muay Hair Monument, Sanam Luang",Khlong Khu Mueang Derm,13.752721017758600,100.49605032679600
4,15.0,2561,คลองคูเมืองเดิม,ปตร. พระปิ่นเกล้า,25.0,7.9,3.0,0.0,4.0,47.0,17.0,2.8,0.6,0.0,1.9,0.1,30000.0,Phra Pinklao Police Station,Khlong Khu Mueang Derm,13.752721017758600,100.49605032679600
5,16.0,2561,คลองคูเมืองเดิม,สะพานหน้ากระทรวงมหาดไทย,25.0,7.3,1.4,0.0,6.0,36.0,7.0,2.8,0.6,0.14,1.1,0.3,1500000.0,Bridge in front of the Ministry of Interior,Khlong Khu Mueang Derm,13.752721017758600,100.49605032679600
6,21.0,2561,คลองหลอดวัดราชนัดดา,หลัง  กทม. 1,25.0,7.4,0.0,0.2,11.0,65.0,4.0,5.6,2.2,0.0,1.0,0.6,2400000000.0,Behind Bangkok 1,Khlong Lod Wat Ratchanatda,,
7,31.0,2561,คลองหลอดวัดราชบพิธ,ถนนตีทอง,25.0,7.3,0.0,0.3,15.0,79.0,8.0,7.8,4.5,0.0,1.1,0.8,11000000000.0,Thi Thong Road,Khlong Lod Wat Ratchabophit,,
8,41.0,2561,คลองรอบกรุง,สะพานผ่านฟ้า,25.0,7.3,0.3,0.0,7.0,83.0,7.0,5.0,3.1,0.25,1.2,0.5,11000000000.0,Phan Fa Bridge,Khlong Rob Krung,,
9,42.0,2561,คลองรอบกรุง,หลังตลาดนานา,25.0,7.4,1.8,0.0,8.0,80.0,34.0,3.9,2.5,0.55,1.7,0.3,2400000000.0,Behind Nana Market,Khlong Rob Krung,,
10,43.0,2561,คลองรอบกรุง,ปตร. บางลำภู,25.0,7.5,3.8,0.0,5.0,65.0,31.0,2.8,1.1,0.0,1.9,0.1,11000000.0,Bang Lamphu Police Station,Khlong Rob Krung,,
