,Canal_id,year,Canal_name,Sample_water_point,TEMP. (oC),  pH,DO (mg/l),H2S (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),TKN (mg/l),NH3N (mg/l),NO2 (mg/l),NO3 (mg/l),T-P (mg/l),T.Coliform (col/100ml),Sample_water_point (EN),Canal_name (EN)
1,12,2561,คลองคูเมืองเดิม,ปตร.ราชินี,25.00,8.00,2.70,0.00,5.00,42.00,26.00,2.20,0.90,0.00,2.20,0.10,9.30E+05,Her Royal Highness Princess Maha Chakri Sirindhorn,Khlong Khu Mueang Derm
2,13,2561,คลองคูเมืองเดิม,หน้ากรมที่ดิน,25.00,8.10,2.40,0.00,5.00,53.00,25.00,1.70,0.60,0.00,2.20,0.10,1.10E+07,Department of Lands page,Khlong Khu Mueang Derm
3,14,2561,คลองคูเมืองเดิม,อนุสาวรีย์แม่ธรณีมวยผม สนามหลวง,25.00,8.00,1.70,0.00,5.00,56.00,24.00,2.20,0.60,0.34,2.30,0.20,4.60E+06,"Mother Earth Muay Hair Monument, Sanam Luang",Khlong Khu Mueang Derm
4,15,2561,คลองคูเมืองเดิม,ปตร. พระปิ่นเกล้า,25.00,7.90,3.00,0.00,4.00,47.00,17.00,2.80,0.60,0.00,1.90,0.10,3.00E+04,Phra Pinklao Police Station,Khlong Khu Mueang Derm
5,16,2561,คลองคูเมืองเดิม,สะพานหน้ากระทรวงมหาดไทย,25.00,7.30,1.40,0.00,6.00,36.00,7.00,2.80,0.60,0.14,1.10,0.30,1.50E+06,Bridge in front of the Ministry of Interior,Khlong Khu Mueang Derm
6,21,2561,คลองหลอดวัดราชนัดดา,หลัง  กทม. 1,25.00,7.40,0.00,0.20,11.00,65.00,4.00,5.60,2.20,0.00,1.00,0.60,2.40E+09,Behind Bangkok 1,Khlong Lod Wat Ratchanatda
7,31,2561,คลองหลอดวัดราชบพิธ,ถนนตีทอง,25.00,7.30,0.00,0.30,15.00,79.00,8.00,7.80,4.50,0.00,1.10,0.80,1.10E+10,Thi Thong Road,Khlong Lod Wat Ratchabophit
8,41,2561,คลองรอบกรุง,สะพานผ่านฟ้า,25.00,7.30,0.30,0.00,7.00,83.00,7.00,5.00,3.10,0.25,1.20,0.50,1.10E+10,Phan Fa Bridge,Khlong Rob Krung
9,42,2561,คลองรอบกรุง,หลังตลาดนานา,25.00,7.40,1.80,0.00,8.00,80.00,34.00,3.90,2.50,0.55,1.70,0.30,2.40E+09,Behind Nana Market,Khlong Rob Krung
10,43,2561,คลองรอบกรุง,ปตร. บางลำภู,25.00,7.50,3.80,0.00,5.00,65.00,31.00,2.80,1.10,0.00,1.90,0.10,1.10E+07,Bang Lamphu Police Station,Khlong Rob Krung
11,51,2561,คลองรอบกรุง,ปตร. โอ่งอ่าง,25.00,7.50,2.60,0.00,5.00,61.00,48.00,2.20,1.10,0.01,2.10,0.10,3.00E+06,Police Station Ong Ang,Khlong Rob Krung
12,52,2561,คลองรอบกรุง,สะพานดำรงสถิต  (ถนนเจริญกรุง),25.00,7.40,0.00,0.10,23.00,82.00,93.00,12.90,8.40,0.02,1.40,1.30,2.40E+09,Damrongsathit Bridge  (Charoen Krung Road),Khlong Rob Krung
13,53,2561,คลองรอบกรุง,สะพานสมมตอมรมารค (ถนนบำรุงเมือง),25.00,7.40,0.00,0.20,16.00,63.00,25.00,6.70,3.10,0.00,1.40,1.00,2.40E+10,Somtom Amonmark Bridge (Bamrung Mueang Road),Khlong Rob Krung
14,61,2561,คลองมหานาค,สะพานดำรัส,29.00,7.40,2.10,0.00,6.00,52.00,42.00,4.50,2.50,0.18,1.10,0.40,9.00E+08,Damrat Bridge,Mahanak Canal
15,62,2561,คลองมหานาค,สะพานเจริญราษฎร์,29.00,7.40,1.70,0.00,6.00,50.00,67.00,4.50,2.50,0.07,1.10,0.50,4.30E+09,Charoen Rat Bridge,Mahanak Canal
16,63,2561,คลองมหานาค,เจริญผล,29.00,7.50,1.30,0.00,6.00,39.00,26.00,4.50,2.10,0.01,1.00,0.50,2.30E+07,flourish,Mahanak Canal
17,72,2561,คลองผดุงกรุงเกษม,สถานีสูบน้ำกรุงเกษม,29.00,7.40,1.40,0.00,9.00,62.00,22.00,4.50,0.90,0.00,1.00,0.60,2.10E+09,Krung Kasem Pumping Station,Khlong Phadung Krung Kasem
18,73,2561,คลองผดุงกรุงเกษม,สถานีรถไฟกรุงเทพ,29.00,7.40,1.00,0.00,7.00,61.00,11.00,3.90,0.60,0.00,1.00,0.40,1.10E+11,Bangkok Railway Station,Khlong Phadung Krung Kasem
19,74,2561,คลองผดุงกรุงเกษม,หน้ากรมวิเทศสหการ,29.00,7.40,2.10,0.00,4.00,63.00,32.00,2.80,0.90,0.00,1.60,0.30,4.60E+10,Department of Mutual Affairs page,Khlong Phadung Krung Kasem
20,75,2561,คลองผดุงกรุงเกษม,ตลาดเทวราช,29.00,7.40,4.50,0.00,5.00,54.00,26.00,2.20,0.30,0.00,2.00,0.10,2.30E+07,Thewarat Market,Khlong Phadung Krung Kasem
21,76,2561,คลองผดุงกรุงเกษม,ปตร. เทเวศน์,29.00,7.40,3.10,0.00,5.00,49.00,21.00,1.70,0.30,0.00,1.90,0.10,2.40E+12,Police Station Thewet,Khlong Phadung Krung Kasem
22,81,2561,คลองสามเสน,ปตร. สามเสน,28.00,7.50,1.60,0.00,5.00,36.00,16.00,1.10,0.60,0.22,1.90,0.20,4.00E+06,Samsen Police Station,Khlong Samsen
23,82,2561,คลองสามเสน,วัดโบสถ์,28.00,7.40,1.50,0.00,6.00,36.00,12.00,1.70,0.60,0.19,1.80,0.10,4.00E+06,Wat Bosat,Khlong Samsen
24,83,2561,คลองสามเสน,อนุสาวรีย์ชัยสมรภูมิ,28.00,7.40,1.30,0.00,7.00,42.00,11.00,1.10,0.60,0.00,1.10,0.60,7.00E+06,Victory Monument,Khlong Samsen
25,85,2561,คลองสามเสน,หลังแฟลตดินแดง,28.00,7.30,1.10,0.00,7.00,42.00,11.00,1.10,0.60,0.00,1.10,0.60,4.30E+07,behind Din Daeng flats,Khlong Samsen
26,90,2561,คลองแสนแสบ,ตลาดหนองจอก,27.00,7.30,1.60,0.00,4.00,48.00,79.00,2.80,0.00,0.00,2.80,0.20,1.40E+05,Nong Chok Market,Khlong Saen Saep
27,91,2561,คลองแสนแสบ,ถนนอโศกดินแดง,28.00,7.30,2.40,0.00,11.00,63.00,77.00,7.80,1.10,0.02,1.80,0.50,2.30E+11,Asoke Din Daeng Road,Khlong Saen Saep
